rule_rank,candidate_id,title,yoe,final,evidence,title_fit,exp,skills,edu,penalty,reasons
1,CAND_0018499,Senior Machine Learning Engineer,7.2,0.9994,1.00,1.00,1.00,1.00,1.00,0.00,
2,CAND_0081846,Lead AI Engineer,6.7,0.9983,1.00,1.00,1.00,1.00,1.00,0.00,
3,CAND_0008425,Senior NLP Engineer,7.8,0.9976,0.99,1.00,1.00,1.00,1.00,0.00,
4,CAND_0055905,Senior Machine Learning Engineer,8.1,0.9975,0.99,1.00,1.00,1.00,1.00,0.00,
5,CAND_0070398,Machine Learning Engineer,7.2,0.9974,0.99,1.00,1.00,1.00,1.00,0.00,
6,CAND_0077337,Staff Machine Learning Engineer,7.0,0.9970,0.99,1.00,1.00,1.00,1.00,0.00,
7,CAND_0071974,Senior AI Engineer,7.8,0.9916,0.99,1.00,1.00,0.96,1.00,0.00,
8,CAND_0046525,Senior Machine Learning Engineer,6.1,0.9909,0.98,1.00,1.00,1.00,1.00,0.00,
9,CAND_0066376,Applied ML Engineer,5.7,0.9875,0.97,1.00,1.00,1.00,1.00,0.00,
10,CAND_0028793,Search Engineer,7.2,0.9851,0.98,1.00,1.00,0.96,1.00,0.00,
11,CAND_0086022,Senior Applied Scientist,5.3,0.9837,0.99,1.00,1.00,0.92,1.00,0.00,
12,CAND_0088025,Staff Machine Learning Engineer,8.6,0.9827,1.00,1.00,1.00,1.00,0.80,0.00,
13,CAND_0062247,AI Engineer,7.3,0.9817,0.97,1.00,1.00,0.96,1.00,0.00,
14,CAND_0002025,Senior AI Engineer,5.9,0.9792,0.95,1.00,1.00,1.00,1.00,0.00,
15,CAND_0005260,Senior NLP Engineer,5.2,0.9782,0.98,0.95,1.00,1.00,1.00,0.00,
16,CAND_0036184,Recommendation Systems Engineer,6.0,0.9772,0.98,1.00,1.00,1.00,0.80,0.00,
17,CAND_0044855,Senior Data Scientist,6.6,0.9746,0.98,1.00,1.00,1.00,0.80,0.00,
18,CAND_0030031,AI Engineer,5.7,0.9741,0.94,1.00,1.00,1.00,1.00,0.00,
19,CAND_0026532,Recommendation Systems Engineer,4.8,0.9727,0.98,1.00,0.86,1.00,1.00,0.00,
20,CAND_0011687,Senior NLP Engineer,7.8,0.9726,0.98,1.00,1.00,0.83,1.00,0.00,
21,CAND_0005649,Senior Data Scientist,7.4,0.9719,0.98,1.00,1.00,0.96,0.80,0.00,
22,CAND_0083307,Search Engineer,7.8,0.9717,0.97,1.00,1.00,1.00,0.80,0.00,
